title;platform;score_phrase;score;genre;editors_choice;release_year
War of the Roses;PC;Good;7.3;Action;N;2012
Pokemon Black Version 2;Nintendo DS;Amazing;9.6;RPG;Y;2012
Drakerider;iPhone;Okay;6.5;RPG;N;2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead;Xbox 360;Amazing;9;Adventure;Y;2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead;PC;Amazing;9;Adventure;Y;2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead;PlayStation 3;Amazing;9;Adventure;Y;2012
Rock Band Blitz;Xbox 360;Great;8.5;Music;Y;2012
Counter-Strike: Global Offensive;Macintosh;Great;8;Shooter;N;2012
Worms Revolution;PlayStation 3;Great;8.5;Strategy;N;2012
Worms Revolution;PC;Great;8.5;Strategy;N;2012
Worms Revolution;Xbox 360;Great;8.5;Strategy;N;2012
Bad Piggies;iPhone;Amazing;9.2;Action;Y;2012
Resident Evil 6;PlayStation 3;Good;7.9;Action/Adventure;N;2012
Resident Evil 6;Xbox 360;Good;7.9;Action/Adventure;N;2012
Shad'O;PC;Good;7;Adventure;N;2012
Demon's Score;iPhone;Okay;6.9;Action;N;2012
NBA 2K13;Xbox 360;Amazing;9.1;Sports;Y;2012
Counter-Strike: Global Offensive;PC;Great;8;Shooter;N;2012
The World Ends with You: Solo Remix;iPad;Amazing;9.5;RPG;Y;2012
Counter-Strike: Global Offensive;PlayStation 3;Great;8;Shooter;N;2012
The World Ends with You: Solo Remix;iPhone;Amazing;9.5;RPG;Y;2012
Counter-Strike: Global Offensive;Xbox 360;Great;8;Shooter;N;2012
Madden NFL 13;PlayStation Vita;Okay;6;Sports;N;2012
Madden NFL 13;PlayStation 3;Amazing;9;Sports;Y;2012
Madden NFL 13;Xbox 360;Amazing;9;Sports;Y;2012
Hoodwink;PC;Painful;2.5;Adventure;N;2012
NBA 2K13;PlayStation 3;Amazing;9.1;Sports;Y;2012
NBA 2K13;PC;Amazing;9.1;Sports;Y;2012
Lili: Child of Geos;iPhone;Good;7;Adventure;N;2012
Marvel vs. Capcom Origins;Xbox 360;Great;8.2;Fighting;N;2012
Marvel vs. Capcom Origins;PlayStation 3;Great;8.2;Fighting;N;2012
Dead or Alive 5;PlayStation 3;Great;8.8;Fighting;N;2012
Dead or Alive 5;Xbox 360;Great;8.8;Fighting;N;2012
Medal of Honor Warfighter;PC;Bad;4;Shooter;N;2012
Professor Layton and the Miracle Mask;Nintendo 3DS;Great;8.7;Adventure;Y;2012
Hotline Miami;PC;Great;8.8;Action;Y;2012
Edna & Harvey: Harvey's New Eyes;PC;Okay;6;Adventure;N;2012
Medal of Honor Warfighter;PlayStation 3;Bad;4;Shooter;N;2012
Medal of Honor Warfighter;Xbox 360;Bad;4;Shooter;N;2012
Transformers: Fall of Cybertron;Xbox 360;Great;8.5;Shooter;N;2012
Transformers: Fall of Cybertron;PlayStation 3;Great;8.5;Shooter;N;2012
Hero Academy;PC;Amazing;9;Board;Y;2012
Hero Academy;iPhone;Amazing;9;Strategy;Y;2012
Puzzle Craft;iPhone;Amazing;9;Puzzle;Y;2012
Realms Of Ancient War;Xbox 360;Mediocre;5.5;Action;N;2012
Realms Of Ancient War;PlayStation 3;Mediocre;5.5;Action;N;2012
Anomaly: Warzone Earth;PlayStation 3;Great;8.2;Action;N;2012
Darksiders II;PC;Good;7.5;Action;N;2012
Left 4 Dead 2: Cold Stream;Macintosh;Good;7;Shooter;N;2012
Left 4 Dead 2: Cold Stream;PC;Good;7;Shooter;N;2012
Puzzle Craft;Android;Amazing;9;Puzzle;Y;2012
Left 4 Dead 2: Cold Stream;Xbox 360;Good;7;Shooter;N;2012
Horn;iPhone;Amazing;9;Action/Adventure;Y;2012
Forza Horizon;Xbox 360;Amazing;9;Racing;Y;2012
FIFA Soccer 13;PlayStation Vita;Bad;4;Sports;N;2012
Mugen Souls;PlayStation 3;Awful;3.9;Strategy/RPG;N;2012
Crazy Taxi;iPhone;Good;7.1;Racing/Action;N;2012
New Little King's Story;PlayStation Vita;Mediocre;5.8;RPG;N;2012
Fable: The Journey;Xbox 360;Good;7.2;Action/RPG;N;2012
The Lord of the Rings Online: Riders of Rohan;PC;Great;8.3;RPG;N;2012
Doom 3: BFG Edition;Xbox 360;Good;7.6;RPG;N;2012
Rugby League Live 2;Xbox 360;Okay;6;Sports;N;2012
Rugby League Live 2;PlayStation 3;Okay;6;Sports;N;2012
Doom 3: BFG Edition;PlayStation 3;Good;7.6;RPG;N;2012
Punch Quest;iPhone;Amazing;9.3;Action;Y;2012
He-Man: The Most Powerful Game in the Universe;iPhone;Okay;6.8;Action;N;2012
Doom 3: BFG Edition;PC;Good;7.6;RPG;N;2012
Dokuro;PlayStation Vita;Great;8.8;Puzzle;N;2012
Naughty Bear: Panic in Paradise;Xbox 360;Painful;2.3;Action;N;2012
Naughty Bear: Panic in Paradise;PlayStation 3;Painful;2.3;Action;N;2012
Borderlands 2: Captain Scarlett and her Pirate's Booty;PlayStation 3;Good;7.5;Shooter/RPG;N;2012
Skylanders Giants;PlayStation 3;Great;8;Action/Adventure;N;2012
Borderlands 2: Captain Scarlett and her Pirate's Booty;PC;Good;7.5;Shooter/RPG;N;2012
Rayman: Jungle Run;iPhone;Great;8.8;Platformer;N;2012
FIFA Soccer 13;PC;Amazing;9;Sports;Y;2012
FIFA Soccer 13;PlayStation 3;Amazing;9;Sports;Y;2012
Torchlight II;PC;Amazing;9.1;Action/RPG;Y;2012
FIFA Soccer 13;Xbox 360;Amazing;9;Sports;Y;2012
The Sims 3: Supernatural;PC;Bad;4.5;Simulation;N;2012
Retro/Grade;PlayStation 3;Good;7;;N;2012
Iron Brigade;PC;Amazing;9;Action;Y;2012
Cafeteria Nipponica;iPhone;Okay;6;Simulation;N;2012
Sleeping Dogs;Xbox 360;Great;8.5;Action;N;2012
Sleeping Dogs;PlayStation 3;Great;8.5;Action;N;2012
Darksiders II;PlayStation 3;Good;7.5;Action;N;2012
Papo & Yo;PlayStation 3;Bad;4;Adventure;N;2012
The Walking Dead: The Game -- Episode 4: Around Every Corner;PC;Good;7.5;Adventure;N;2012
The Walking Dead: The Game -- Episode 4: Around Every Corner;iPad;Good;7.5;Adventure;N;2012
The Walking Dead: The Game -- Episode 4: Around Every Corner;PlayStation 3;Good;7.5;Adventure;N;2012
Cortex Command;PC;Mediocre;5;Action/Simulation;N;2012
The Walking Dead: The Game -- Episode 4: Around Every Corner;Xbox 360;Good;7.5;Adventure;N;2012
Derrick the Deathfin;PlayStation 3;Good;7.4;Action;N;2012
The Walking Dead: The Game -- Episode 4: Around Every Corner;Macintosh;Good;7.5;Adventure;N;2012
XCOM: Enemy Unknown;Xbox 360;Great;8.2;Strategy;N;2012
XCOM: Enemy Unknown;PC;Great;8.2;Strategy;N;2012
Silent Hill: Book of Memories;PlayStation Vita;Okay;6;Adventure;N;2012
Diaspora: Shattered Armistice;PC;Good;7.4;Flight/Action;N;2012
Pocket Clothier;iPhone;Okay;6.6;Strategy;N;2012
Pocket Clothier;Android;Okay;6.6;Strategy;N;2012
Ravaged;PC;Okay;6.7;Shooter;N;2012
True Skate;iPhone;Okay;6.7;Sports;N;2012
Zero Escape: Virtue's Last Reward;Nintendo 3DS;Amazing;9.5;Adventure;Y;2012
Zero Escape: Virtue's Last Reward;PlayStation Vita;Amazing;9.5;Adventure;Y;2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead;iPad;Amazing;9;Adventure;Y;2012
Skylanders Giants;Xbox 360;Great;8;Action/Adventure;N;2012
Skylanders Giants;Wii;Great;8;Action/Adventure;N;2012
Borderlands 2: Captain Scarlett and her Pirate's Booty;Xbox 360;Good;7.5;Shooter/RPG;N;2012
Devil's Attorney;Android;Great;8.3;Strategy;N;2012
Devil's Attorney;iPhone;Great;8.3;Strategy;N;2012
Code of Princess;Nintendo 3DS;Okay;6.9;Action/RPG;N;2012
SunFlowers;PlayStation Vita;Great;8;Puzzle;N;2012
007 Legends;Xbox 360;Bad;4.5;Action;N;2012
Super Hexagon;iPhone;Amazing;9;Action;N;2012
Machinarium;PlayStation 3;Great;8;Adventure;N;2012
Final Fantasy Dimensions;iPhone;Great;8;RPG;N;2012
They Bleed Pixels;PC;Great;8.2;Platformer;N;2012
Jet Set Radio;PlayStation Vita;Good;7.5;Action;N;2012
Jet Set Radio;PlayStation 3;Good;7.5;Action;N;2012
Jet Set Radio;Xbox 360;Good;7.5;Action;N;2012
Pro Evolution Soccer 2013;Xbox 360;Great;8.5;Sports;Y;2012
F1 2012;PC;Amazing;9;Racing;Y;2012
Darksiders II;Xbox 360;Good;7.5;Action;N;2012
Pitfall;iPhone;Good;7;Platformer;N;2012
Dust: An Elysian Tail;Xbox 360;Great;8.5;Platformer;N;2012
Hybrid;Xbox 360;Great;8;Shooter;N;2012
The Dark Knight Rises;iPhone;Mediocre;5.5;Action;N;2012
10000000;iPhone;Good;7.5;;N;2012
The Political Machine 2012;PC;Okay;6.5;Strategy;N;2012
Sound Shapes;PlayStation 3;Amazing;9;Platformer;Y;2012
Sound Shapes;PlayStation Vita;Amazing;9;Platformer;Y;2012
One Piece: Pirate Warriors;PlayStation 3;Okay;6;Action;N;2012
XCOM: Enemy Unknown;PlayStation 3;Great;8.2;Strategy;N;2012
Dishonored;Xbox 360;Amazing;9.2;Action;Y;2012
Dishonored;PC;Amazing;9.2;Action;Y;2012
Dishonored;PlayStation 3;Amazing;9.2;Action;Y;2012
Angry Birds Trilogy;Nintendo 3DS;Good;7;Puzzle/Action;N;2012
Angry Birds Trilogy;Xbox 360;Good;7;Puzzle/Action;N;2012
Angry Birds Trilogy;PlayStation 3;Good;7;Puzzle/Action;N;2012
Girls Like Robots;iPhone;Great;8.5;Puzzle;N;2012
Happy Wars;Xbox 360;Bad;4;Action;N;2012
007 Legends;PlayStation 3;Bad;4.5;Action;N;2012
Funky Smugglers;iPhone;Amazing;9;Action;Y;2012
Colour Bind;PC;Okay;6.2;;N;2012
WRC 3 FIA World Rally Championship;Xbox 360;Mediocre;5;Racing;N;2012
WRC 3 FIA World Rally Championship;PC;Mediocre;5;Racing;N;2012
Retro City Rampage;PlayStation 3;Mediocre;5.3;Action/Adventure;N;2012
Retro City Rampage;PC;Mediocre;5.3;Action/Adventure;N;2012
Dance Central 3;Xbox 360;Great;8;Music;N;2012
WRC 3 FIA World Rally Championship;PlayStation 3;Mediocre;5;Racing;N;2012
Snapshot;PC;Mediocre;5;Platformer;N;2012
F1 2012;PlayStation 3;Amazing;9;Racing;Y;2012
Pro Evolution Soccer 2013;PlayStation 3;Great;8.5;Sports;Y;2012
F1 2012;Xbox 360;Amazing;9;Racing;Y;2012
Pro Evolution Soccer 2013;PC;Great;8.5;Sports;Y;2012
Borderlands 2;Xbox 360;Amazing;9;Shooter/RPG;Y;2012
Borderlands 2;PC;Amazing;9;Shooter/RPG;Y;2012
Joe Danger: The Movie;Xbox 360;Great;8;Action;N;2012
Borderlands 2;PlayStation 3;Amazing;9;Shooter/RPG;Y;2012
Sound Shapes;PlayStation 4;Amazing;9;Platformer;Y;2012
Persona 4 Arena;PlayStation 3;Amazing;9;Fighting;Y;2012
Persona 4 Arena;Xbox 360;Amazing;9;Fighting;Y;2012
Hell Yeah! Wrath of the Dead Rabbit;PC;Bad;4.9;Platformer;N;2012
Hell Yeah! Wrath of the Dead Rabbit;Xbox 360;Bad;4.9;Platformer;N;2012
Retro City Rampage;PlayStation Vita;Mediocre;5.3;Action/Adventure;N;2012
The Unfinished Swan;PlayStation 3;Amazing;9;Puzzle;Y;2012
Tokyo Jungle;PlayStation 3;Great;8;Adventure;N;2012
Halo 4;Xbox 360;Amazing;9.8;Shooter;Y;2012
Halo 4 (Limited Edition);Xbox 360;Amazing;9.8;Shooter;Y;2012
Zone of the Enders HD Collection;PlayStation 3;Good;7;Action/Compilation;N;2012
Harvest Moon: A New Beginning;Nintendo 3DS;Great;8.3;Adventure;N;2012
Zone of the Enders HD Collection;Xbox 360;Good;7;Action/Compilation;N;2012
Borderlands Legends;iPhone;Okay;6.5;Action/RPG;N;2012
Borderlands Legends;iPad;Okay;6.5;Action/RPG;N;2012
Okami HD;PlayStation 3;Amazing;9.4;Adventure;Y;2012
Ragnarok Odyssey;PlayStation Vita;Mediocre;5;RPG;N;2012
Need for Speed Most Wanted;iPhone;Okay;6.9;Racing/Action;N;2012
Pid;Xbox 360;Good;7.8;Platformer;N;2012
Pid;PC;Good;7.8;Platformer;N;2012
Pid;PlayStation 3;Good;7.8;Platformer;N;2012
Need for Speed Most Wanted;PlayStation 3;Amazing;9;Racing/Action;Y;2012
Assassin's Creed III;Xbox 360;Great;8.5;Action/Adventure;N;2012
Need for Speed Most Wanted;Xbox 360;Amazing;9;Racing/Action;Y;2012
Assassin's Creed III: Liberation;PlayStation Vita;Good;7.2;Action;N;2012
Smart As...;PlayStation Vita;Great;8.5;Educational/Puzzle;N;2012
Assassin's Creed III;PlayStation 3;Great;8.5;Action/Adventure;N;2012
Need for Speed Most Wanted;PC;Amazing;9;Racing/Action;Y;2012
WWE '13;PlayStation 3;Great;8.4;Wrestling;N;2012
Street Fighter x Tekken;PlayStation Vita;Okay;6.6;Fighting;N;2012
WWE '13;Xbox 360;Great;8.4;Wrestling;N;2012
Chivalry: Medieval Warfare;PC;Good;7.9;Adventure;N;2012
Sonic Jump;iPhone;Good;7.5;Platformer;N;2012
F1 Race Stars;Xbox 360;Mediocre;5.2;Racing;N;2012
Call of Duty: Black Ops II;PC;Amazing;9.3;Shooter;Y;2012
F1 Race Stars;PlayStation 3;Mediocre;5.2;Racing;N;2012
Midway Arcade Origins;PlayStation 3;Mediocre;5.5;Action/Compilation;N;2012
Midway Arcade Origins;Xbox 360;Mediocre;5.5;Action/Compilation;N;2012
Call of Duty: Black Ops II;Xbox 360;Amazing;9.3;Shooter;Y;2012
Call of Duty: Black Ops II;PlayStation 3;Amazing;9.3;Shooter;Y;2012
When Vikings Attack;PlayStation 3;Okay;6.5;Fighting/Action;N;2012
When Vikings Attack;PlayStation Vita;Okay;6.5;Fighting/Action;N;2012
Freakyforms Deluxe: Your Creations/Alive!;Nintendo 3DS;Mediocre;5;Productivity;N;2012
Painkiller: Hell & Damnation;PC;Mediocre;5;Shooter;N;2012
Transformers Prime;Nintendo 3DS;Great;8;Action;N;2012
Angry Birds Star Wars;iPhone;Great;8.8;Puzzle;N;2012
Farming Simulator 2013;PC;Good;7.1;Simulation;N;2012
Paper Mario: Sticker Star;Nintendo 3DS;Great;8.3;RPG;N;2012
Lucius;PC;Okay;6;Adventure;N;2012
LittleBigPlanet Karting;PlayStation 3;Mediocre;5;Racing;N;2012
Primal Carnage;PC;Good;7.6;Shooter;N;2012
Natural Selection 2;PC;Great;8;Shooter;N;2012
Symphonica: Grand Maestro;iPhone;Okay;6;Music;N;2012
Football Manager 2013;Macintosh;Amazing;9;Sports/Simulation;Y;2012
The Walking Dead: The Game -- Episode 5: No Time Left;PC;Amazing;9.5;Adventure;Y;2012
The Walking Dead: The Game -- Episode 5: No Time Left;iPad;Amazing;9.5;Adventure;Y;2012
The Walking Dead: The Game -- Episode 5: No Time Left;Macintosh;Amazing;9.5;Adventure;Y;2012
The Walking Dead: The Game -- Episode 5: No Time Left;PlayStation 3;Amazing;9.5;Adventure;Y;2012
Football Manager 2013;PC;Amazing;9;Sports/Simulation;Y;2012
Need for Speed Most Wanted;PlayStation Vita;Good;7.4;Racing/Action;N;2012
Orgarhythm;PlayStation Vita;Bad;4.7;Music/Action;N;2012
Sports Champions 2;PlayStation 3;Good;7.6;Sports/Action;N;2012
Kinect Party;Xbox 360;Great;8.5;Party;N;2012
Sky Gamblers: Storm Raiders;iPhone;Good;7.1;Action;N;2012
Oddworld: Stranger's Wrath HD;PlayStation Vita;Good;7.5;Action/Adventure;N;2012
AirBuccaneers;PC;Good;7.5;Action;N;2012
Theatrhythm Final Fantasy;iPhone;Great;8;Music/Action;N;2012
Sing Party;Wii U;Okay;6.3;Music;N;2012
Beatdown!;iPhone;Okay;6.3;Fighting/Action;N;2012
Waking Mars;PC;Okay;6.5;Action;N;2012
Waking Mars;iPhone;Okay;6.5;Action;N;2012
Hitman: Absolution;PlayStation 3;Amazing;9;Action;Y;2012
Hitman: Absolution;Xbox 360;Amazing;9;Action;Y;2012
ZombiU;Wii U;Okay;6.3;Shooter;N;2012
Grand Theft Auto: Vice City;iPhone;Good;7.7;Action/Adventure;N;2012
Street Fighter X Mega Man;PC;Good;7;Action;N;2012
Sonic & All-Stars Racing Transformed;PlayStation Vita;Good;7;Racing/Action;N;2012
Sonic & All-Stars Racing Transformed;Nintendo 3DS;Good;7;Racing/Action;N;2012
The Sims 3: Seasons;PC;Good;7.5;Simulation;N;2012
Tank! Tank! Tank!;Wii U;Mediocre;5.8;Action;N;2012
Guardians of Middle-earth;Xbox 360;Good;7.5;Battle;N;2012
Ratchet & Clank: Full Frontal Assault;PlayStation 3;Okay;6.4;Action;N;2012
Page Chronica;PlayStation 3;Bad;4.1;Puzzle;N;2012
Hitman: Absolution;PC;Amazing;9;Action;Y;2012
Batman: Arkham City -- Armored Edition;Wii U;Amazing;9.5;Action;Y;2012
Disney Epic Mickey 2: The Power of Two;PlayStation 3;Okay;6;Action/Adventure;N;2012
Disney Epic Mickey 2: The Power of Two;Xbox 360;Okay;6;Action/Adventure;N;2012
Darksiders II;Wii U;Good;7.5;Action;N;2012
Scribblenauts Unlimited;Wii U;Great;8.8;Puzzle/Action;Y;2012
Call of Duty: Black Ops Declassified;PlayStation Vita;Bad;4;Shooter;N;2012
Fallen Enchantress;PC;Good;7.9;Strategy;N;2012
Guns of Icarus Online;PC;Good;7.3;Shooter;N;2012
Miner Wars 2081;PC;Mediocre;5;Shooter;N;2012
Guardians of Middle-earth;PlayStation 3;Good;7.5;Battle;N;2012
The Elder Scrolls V: Skyrim -- Dragonborn;Xbox 360;Great;8.8;RPG;N;2012
Baldur's Gate -- Enhanced Edition;iPad;Okay;6;RPG;N;2012
Black Knight Sword;Xbox 360;Okay;6.9;Puzzle/Adventure;N;2012
Black Knight Sword;PlayStation 3;Okay;6.9;Puzzle/Adventure;N;2012
The Walking Dead: A Telltale Game Series -- Season One;Xbox 360;Amazing;9.3;Adventure;Y;2012
Sonic & All-Stars Racing Transformed;Xbox 360;Great;8.6;Racing/Action;N;2012
New Super Mario Bros. U;Wii U;Amazing;9.1;Platformer;Y;2012
Sonic & All-Stars Racing Transformed;PlayStation 3;Great;8.6;Racing/Action;N;2012
Nintendo Land;Wii U;Great;8.7;Party;Y;2012
ARC Squadron;iPhone;Good;7.3;Flight/Action;N;2012
Ninja Gaiden III: Razor's Edge;Wii U;Good;7.6;Action;N;2012
The Walking Dead: A Telltale Game Series -- Season One;PlayStation 3;Amazing;9.3;Adventure;Y;2012
The Walking Dead -- Game of the Year Edition;PC;Amazing;9.3;Adventure;Y;2012
The Walking Dead: A Telltale Game Series -- Season One;iPhone;Amazing;9.3;Adventure;Y;2012
Real Boxing;iPhone;Good;7.6;Sports;N;2012
Baldur's Gate -- Enhanced Edition;PC;Great;8.1;RPG;N;2012
Crashmo;Nintendo 3DS;Amazing;9.5;Puzzle/Action;Y;2012
PlanetSide 2;PC;Amazing;9;Shooter;Y;2012
Disney Epic Mickey 2: The Power of Two;Wii U;Okay;6;Action/Adventure;N;2012
The Walking Dead: A Telltale Game Series -- Season One;PC;Amazing;9.3;Adventure;Y;2012
The Walking Dead: A Telltale Game Series -- Season One;Macintosh;Amazing;9.3;Adventure;Y;2012
Strike Suit Zero;PC;Good;7.5;Shooter;N;2013
Final Fantasy: All The Bravest;iPhone;Painful;2.5;RPG;N;2013
Tokyo Crash Mobs;Nintendo 3DS;Good;7.7;Puzzle/Action;N;2013
Ni no Kuni: Wrath of the White Witch;PlayStation 3;Amazing;9.4;RPG;Y;2013
Marvel's The Avengers: Battle For Earth;Wii U;Mediocre;5;Action;N;2013
Borderlands 2: Sir Hammerlock's Big Game Hunt;Xbox 360;Okay;6.9;Shooter/RPG;N;2013
Assassin's Creed III;PC;Great;8.6;Action/Adventure;Y;2012
Chasing Aurora;Wii U;Okay;6;Action;N;2012
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?;Nintendo 3DS;Great;8.5;Adventure;Y;2012
Madden NFL 13;Wii;Great;8.3;Sports;N;2012
Warriors Orochi 3 Hyper;Wii U;Good;7;Action;N;2012
Transformers Prime;Wii U;Good;7.8;Action;N;2012
Skylanders Battlegrounds;iPhone;Okay;6.6;Action;N;2012
Rage of the Gladiator;iPhone;Good;7.6;Action;N;2012
FIFA Soccer 13;Wii U;Okay;6;Sports;N;2012
Family Guy: Back to the Multiverse;Xbox 360;Okay;6;Adventure;N;2012
Family Guy: Back to the Multiverse;PlayStation 3;Okay;6;Adventure;N;2012
Little Inferno;PC;Mediocre;5;Puzzle;N;2012
Little Inferno;Wii U;Mediocre;5;Puzzle;N;2012
The Walking Dead -- Game of the Year Edition;PlayStation 3;Amazing;9.3;Adventure;Y;2012
The Walking Dead -- Game of the Year Edition;Xbox 360;Amazing;9.3;Adventure;Y;2012
The Walking Dead: A Telltale Game Series -- Season One;iPad;Amazing;9.3;Adventure;Y;2012
Minigore 2: Zombies;iPhone;Amazing;9.1;Shooter;Y;2012
Jet Set Radio;iPhone;Mediocre;5.6;Action;N;2012
Forge;PC;Good;7;Shooter;N;2012
Nancy Drew: The Deadly Device;PC;Okay;6.8;Adventure;N;2012
Into the Dead;iPhone;Good;7;Action;N;2012
Just Dance 4;Wii U;Mediocre;5.3;Music;N;2012
Borderlands 2: Sir Hammerlock's Big Game Hunt;PC;Okay;6.9;Shooter/RPG;N;2013
Borderlands 2: Sir Hammerlock's Big Game Hunt;PlayStation 3;Okay;6.9;Shooter/RPG;N;2013
DmC: Devil May Cry;PC;Great;8.9;Action;Y;2013
Unchained Blades;Nintendo 3DS;Great;8;RPG;N;2013
DmC: Devil May Cry;PlayStation 3;Great;8.5;Action;Y;2013
The Earth Defense Force 2017 Portable;PlayStation Vita;Good;7.5;Action;N;2013
007 Legends;Wii U;Bad;4.2;Action;N;2013
Wraithborne;iPhone;Mediocre;5.2;Action;N;2012
Persona 4 Golden;PlayStation Vita;Amazing;9.3;RPG;Y;2012
Call of Duty: Black Ops II;Wii U;Amazing;9.3;Shooter;Y;2012
Rabbids Land;Wii U;Mediocre;5;Party;N;2012
Tekken Tag Tournament 2: Wii U Edition;Wii U;Good;7.5;Fighting;N;2012
Far Cry 3;PC;Amazing;9;Shooter;Y;2012
Madden NFL 13;Wii U;Great;8.3;Sports;N;2012
Far Cry 3;PlayStation 3;Amazing;9;Shooter;Y;2012
Little Inferno;Macintosh;Mediocre;5;Puzzle;N;2012
Little Inferno;iPad;Mediocre;5;Puzzle;N;2012
Little Inferno;Linux;Mediocre;5;Puzzle;N;2012
Little Inferno;iPhone;Mediocre;5;Puzzle;N;2012
Little Chomp;iPhone;Great;8;Action;N;2012
Trine 2: Director's Cut;Wii U;Amazing;9;Action;Y;2012
LEGO The Lord of the Rings [Portable];Nintendo 3DS;Awful;3.8;Action/Adventure;N;2012
LEGO The Lord of the Rings [Portable];PlayStation Vita;Awful;3.8;Action/Adventure;N;2012
LEGO The Lord of the Rings;Xbox 360;Okay;6.8;Action/Adventure;N;2012
Writer Rumble;iPhone;Great;8.2;Puzzle/Word Game;N;2012
Mass Effect;PlayStation 3;Amazing;9;RPG;Y;2012
Guilty Gear XX Accent Core Plus;Xbox 360;Great;8.3;Fighting;N;2012
Guilty Gear XX Accent Core Plus;PlayStation 3;Great;8.3;Fighting;N;2012
Uncharted: Fight For Fortune;PlayStation Vita;Good;7;Card/Battle;N;2012
Modern Combat 4: Zero Hour;iPhone;Good;7.8;Shooter;N;2012
Wonderbook: Book  of Spells;PlayStation 3;Okay;6;Simulation/Adventure;N;2012
Rift: Storm Legion;PC;Great;8.3;RPG;N;2012
Joe Danger;iPhone;Amazing;9.1;Action;Y;2013
DmC: Devil May Cry;Xbox 360;Great;8.9;Action;Y;2013
Anarchy Reigns;Xbox 360;Mediocre;5.9;Action;N;2013
Anarchy Reigns;PlayStation 3;Mediocre;5.9;Action;N;2013
Kentucky Route Zero: Act 1;PC;Great;8.3;Adventure;N;2013
Primordia;PC;Okay;6.8;Adventure;N;2013
Mutant Mudds;iPhone;Amazing;9.1;Platformer;Y;2013
Far Cry 3;Xbox 360;Amazing;9;Shooter;Y;2012
Mass Effect 3 (Special Edition);Wii U;Amazing;9.5;RPG;N;2012
Nano Assault Neo;Wii U;Amazing;9;Shooter;Y;2012
Disney Epic Mickey: Power of Illusion;Nintendo 3DS;Good;7;Action/Adventure;N;2012
Assassin's Creed III;Wii U;Great;8.5;Action/Adventure;N;2012
Borderlands 2: Mr. Torgue's Campaign of Carnage;PC;Amazing;9.2;Shooter/RPG;Y;2012
Scribblenauts Unlimited;PC;Great;8.8;Puzzle/Action;Y;2012
Borderlands 2: Mr. Torgue's Campaign of Carnage;Xbox 360;Amazing;9.2;Shooter/RPG;Y;2012
PlayStation All-Stars Battle Royale;PlayStation Vita;Great;8;Fighting;N;2012
Jetpack Joyride;PlayStation Portable;Good;7.4;Platformer;N;2012
LEGO The Lord of the Rings;PlayStation 3;Okay;6.8;Action/Adventure;N;2012
